,dia,value
0,0,0.496034356077172
1,1,0.6002065562859997
2,2,0.6002065562859984
3,3,0.6002065562859984
4,4,0.6002065562859984
5,5,0.6002065562859984
6,6,0.6002065562859984
7,7,0.6002065562859984
8,8,0.6002065562859984
9,9,0.6002065562859984
10,10,0.6002065562859984
11,11,0.6002065562859984
12,12,0.6002065562859984
13,13,0.6002065562859984
14,14,0.6002065562859984
15,15,0.6002065562859984
16,16,0.6002065562859984
17,17,0.6002065562859984
18,18,0.6002065562859984
19,19,0.6002065562859984
20,20,0.6002065562859996
21,21,0.6002065562859983
22,22,0.6002065562859986
23,23,0.6002065562859986
24,24,0.6002065562859986
25,25,0.6002065562859986
26,26,0.6002065562859986
27,27,0.6002065562859986
28,28,0.6002065562859986
29,29,0.6002065562859986
30,30,0.6002065562859986
31,31,0.6002065562859986
32,32,0.6002065562859986
33,33,0.6002065562859986
34,34,0.6002065562859986
35,35,0.6002065562859986
36,36,0.6002065562859986
37,37,0.6002065562859986
38,38,0.6002065562859986
39,39,0.6002065562859996
40,40,0.6002065562859984
41,41,0.6002065562859984
42,42,0.6002065562859984
43,43,0.6002065562859984
44,44,0.6002065562859984
